order_item_id,order_id,item_id,quantity
OI000001,ORD000001,MI00091,2
OI000002,ORD000001,MI00091,2
OI000003,ORD000001,MI00091,1
OI000004,ORD000002,MI00267,1
OI000005,ORD000003,MI00060,1
OI000006,ORD000003,MI00061,1
OI000007,ORD000004,MI00002,1
OI000008,ORD000004,MI00001,1
OI000009,ORD000004,MI00003,1
OI000010,ORD000005,MI00044,1
OI000011,ORD000005,MI00044,1
OI000012,ORD000006,MI00236,1
OI000013,ORD000007,MI00216,2
OI000014,ORD000007,MI00213,1
OI000015,ORD000008,MI00068,2
OI000016,ORD000008,MI00070,2
OI000017,ORD000009,MI00188,2
OI000018,ORD000009,MI00188,3
OI000019,ORD000009,MI00187,2
OI000020,ORD000009,MI00184,1
OI000021,ORD000010,MI00018,1
OI000022,ORD000010,MI00015,1
OI000023,ORD000010,MI00016,1
OI000024,ORD000011,MI00017,1
OI000025,ORD000012,MI00098,1
OI000026,ORD000012,MI00097,1
OI000027,ORD000013,MI00041,1
OI000028,ORD000013,MI00040,2
OI000029,ORD000013,MI00040,1
OI000030,ORD000014,MI00015,1
OI000031,ORD000014,MI00015,3
OI000032,ORD000015,MI00269,1
OI000033,ORD000015,MI00272,1
OI000034,ORD000016,MI00224,1
OI000035,ORD000016,MI00228,1
OI000036,ORD000016,MI00224,2
OI000037,ORD000016,MI00224,1
OI000038,ORD000017,MI00236,1
OI000039,ORD000017,MI00235,1
OI000040,ORD000017,MI00236,1
OI000041,ORD000018,MI00211,1
OI000042,ORD000018,MI00214,3
OI000043,ORD000019,MI00104,1
OI000044,ORD000019,MI00101,1
OI000045,ORD000020,MI00056,2
OI000046,ORD000020,MI00056,3
OI000047,ORD000020,MI00059,2
OI000048,ORD000020,MI00059,3
OI000049,ORD000021,MI00162,3
OI000050,ORD000021,MI00160,1
OI000051,ORD000021,MI00163,1
OI000052,ORD000022,MI00160,1
OI000053,ORD000022,MI00161,2
OI000054,ORD000023,MI00055,1
OI000055,ORD000023,MI00053,1
OI000056,ORD000023,MI00050,1
OI000057,ORD000024,MI00063,1
OI000058,ORD000024,MI00060,1
OI000059,ORD000025,MI00175,3
OI000060,ORD000025,MI00177,1
OI000061,ORD000025,MI00176,1
OI000062,ORD000026,MI00168,1
OI000063,ORD000026,MI00168,1
OI000064,ORD000026,MI00170,1
OI000065,ORD000027,MI00260,1
OI000066,ORD000027,MI00258,1
OI000067,ORD000028,MI00264,2
OI000068,ORD000028,MI00268,2
OI000069,ORD000028,MI00263,1
OI000070,ORD000029,MI00233,1
OI000071,ORD000029,MI00235,2
OI000072,ORD000029,MI00234,1
OI000073,ORD000030,MI00091,3
OI000074,ORD000030,MI00092,2
OI000075,ORD000030,MI00091,1
OI000076,ORD000031,MI00264,1
OI000077,ORD000031,MI00265,1
OI000078,ORD000032,MI00011,2
OI000079,ORD000032,MI00009,1
OI000080,ORD000033,MI00042,2
OI000081,ORD000033,MI00039,2
OI000082,ORD000034,MI00102,1
OI000083,ORD000034,MI00105,1
OI000084,ORD000035,MI00075,1
OI000085,ORD000035,MI00077,2
OI000086,ORD000036,MI00095,1
OI000087,ORD000036,MI00090,1
OI000088,ORD000036,MI00093,1
OI000089,ORD000037,MI00176,1
OI000090,ORD000037,MI00177,1
OI000091,ORD000038,MI00187,2
OI000092,ORD000038,MI00188,1
OI000093,ORD000039,MI00027,1
OI000094,ORD000040,MI00264,1
OI000095,ORD000041,MI00205,1
OI000096,ORD000041,MI00209,1
OI000097,ORD000042,MI00189,2
OI000098,ORD000042,MI00193,2
OI000099,ORD000042,MI00193,2
OI000100,ORD000043,MI00166,1
OI000101,ORD000043,MI00166,2
OI000102,ORD000044,MI00260,1
OI000103,ORD000044,MI00260,1
OI000104,ORD000044,MI00258,2
OI000105,ORD000045,MI00177,1
OI000106,ORD000045,MI00177,1
OI000107,ORD000045,MI00177,1
OI000108,ORD000046,MI00255,1
OI000109,ORD000046,MI00255,1
OI000110,ORD000046,MI00254,2
OI000111,ORD000047,MI00038,1
OI000112,ORD000047,MI00037,1
OI000113,ORD000047,MI00034,1
OI000114,ORD000048,MI00183,1
OI000115,ORD000048,MI00180,1
OI000116,ORD000049,MI00173,1
OI000117,ORD000049,MI00175,1
OI000118,ORD000049,MI00174,2
OI000119,ORD000050,MI00053,1
OI000120,ORD000050,MI00055,1
OI000121,ORD000050,MI00053,2
OI000122,ORD000051,MI00113,1
OI000123,ORD000051,MI00114,1
OI000124,ORD000052,MI00180,1
OI000125,ORD000052,MI00180,2
OI000126,ORD000052,MI00183,1
OI000127,ORD000053,MI00058,1
OI000128,ORD000053,MI00057,1
OI000129,ORD000054,MI00217,2
OI000130,ORD000055,MI00246,3
OI000131,ORD000055,MI00250,2
OI000132,ORD000055,MI00250,1
OI000133,ORD000056,MI00072,2
OI000134,ORD000057,MI00037,3
OI000135,ORD000057,MI00038,1
OI000136,ORD000057,MI00033,1
OI000137,ORD000057,MI00037,1
OI000138,ORD000058,MI00032,1
OI000139,ORD000058,MI00035,2
OI000140,ORD000059,MI00096,1
OI000141,ORD000059,MI00098,1
OI000142,ORD000060,MI00126,2
OI000143,ORD000061,MI00098,2
OI000144,ORD000061,MI00098,1
OI000145,ORD000061,MI00096,1
OI000146,ORD000062,MI00207,1
OI000147,ORD000062,MI00206,1
OI000148,ORD000063,MI00124,1
OI000149,ORD000063,MI00124,1
OI000150,ORD000063,MI00123,2
OI000151,ORD000064,MI00237,1
OI000152,ORD000064,MI00237,1
OI000153,ORD000065,MI00241,1
OI000154,ORD000066,MI00018,1
OI000155,ORD000067,MI00158,2
OI000156,ORD000067,MI00157,2
OI000157,ORD000068,MI00063,1
OI000158,ORD000068,MI00062,2
OI000159,ORD000069,MI00192,1
OI000160,ORD000069,MI00190,2
OI000161,ORD000070,MI00207,1
OI000162,ORD000070,MI00206,1
OI000163,ORD000071,MI00234,1
OI000164,ORD000071,MI00233,2
OI000165,ORD000072,MI00227,2
OI000166,ORD000073,MI00063,1
OI000167,ORD000073,MI00063,2
OI000168,ORD000074,MI00017,2
OI000169,ORD000074,MI00015,1
OI000170,ORD000075,MI00266,1
OI000171,ORD000075,MI00268,2
OI000172,ORD000076,MI00080,1
OI000173,ORD000076,MI00080,2
OI000174,ORD000076,MI00079,2
OI000175,ORD000077,MI00107,1
OI000176,ORD000077,MI00108,1
OI000177,ORD000078,MI00007,2
OI000178,ORD000078,MI00004,1
OI000179,ORD000078,MI00006,1
OI000180,ORD000079,MI00108,1
OI000181,ORD000079,MI00107,2
OI000182,ORD000079,MI00110,1
OI000183,ORD000079,MI00109,3
OI000184,ORD000080,MI00072,1
OI000185,ORD000081,MI00217,1
OI000186,ORD000081,MI00222,1
OI000187,ORD000081,MI00217,1
OI000188,ORD000082,MI00209,2
OI000189,ORD000082,MI00210,2
OI000190,ORD000082,MI00206,1
OI000191,ORD000083,MI00038,2
OI000192,ORD000084,MI00246,1
OI000193,ORD000084,MI00246,1
OI000194,ORD000085,MI00229,1
OI000195,ORD000085,MI00230,1
OI000196,ORD000086,MI00054,2
OI000197,ORD000086,MI00054,2
OI000198,ORD000087,MI00106,1
OI000199,ORD000087,MI00108,1
OI000200,ORD000088,MI00211,1
OI000201,ORD000088,MI00211,2
OI000202,ORD000089,MI00260,1
OI000203,ORD000089,MI00261,2
OI000204,ORD000089,MI00260,3
OI000205,ORD000090,MI00096,2
OI000206,ORD000090,MI00099,2
OI000207,ORD000090,MI00096,2
OI000208,ORD000091,MI00186,1
OI000209,ORD000092,MI00210,2
OI000210,ORD000092,MI00207,1
OI000211,ORD000093,MI00257,1
OI000212,ORD000093,MI00253,1
OI000213,ORD000093,MI00255,1
OI000214,ORD000094,MI00138,1
OI000215,ORD000094,MI00135,1
OI000216,ORD000094,MI00137,2
OI000217,ORD000094,MI00135,2
OI000218,ORD000095,MI00153,2
OI000219,ORD000095,MI00151,1
OI000220,ORD000095,MI00152,2
OI000221,ORD000095,MI00153,1
OI000222,ORD000096,MI00236,1
OI000223,ORD000096,MI00235,3
OI000224,ORD000097,MI00073,2
OI000225,ORD000097,MI00074,2
OI000226,ORD000097,MI00073,2
OI000227,ORD000098,MI00270,1
OI000228,ORD000098,MI00271,2
OI000229,ORD000098,MI00269,1
OI000230,ORD000098,MI00270,1
OI000231,ORD000099,MI00232,1
OI000232,ORD000099,MI00232,1
OI000233,ORD000099,MI00231,1
OI000234,ORD000100,MI00092,1
OI000235,ORD000100,MI00093,1
OI000236,ORD000100,MI00092,2
OI000237,ORD000101,MI00163,1
OI000238,ORD000101,MI00162,2
OI000239,ORD000102,MI00196,2
OI000240,ORD000102,MI00195,1
OI000241,ORD000103,MI00159,1
OI000242,ORD000103,MI00158,2
OI000243,ORD000103,MI00157,1
OI000244,ORD000103,MI00156,1
OI000245,ORD000104,MI00165,1
OI000246,ORD000104,MI00160,1
OI000247,ORD000104,MI00163,1
OI000248,ORD000105,MI00240,1
OI000249,ORD000105,MI00240,2
OI000250,ORD000106,MI00082,1
OI000251,ORD000107,MI00240,1
OI000252,ORD000107,MI00240,1
OI000253,ORD000107,MI00237,2
OI000254,ORD000108,MI00269,1
OI000255,ORD000108,MI00270,2
OI000256,ORD000108,MI00271,2
OI000257,ORD000109,MI00184,2
OI000258,ORD000110,MI00132,1
OI000259,ORD000110,MI00127,2
OI000260,ORD000111,MI00016,2
OI000261,ORD000111,MI00016,1
OI000262,ORD000112,MI00273,2
OI000263,ORD000112,MI00271,2
OI000264,ORD000113,MI00050,1
OI000265,ORD000114,MI00124,2
OI000266,ORD000114,MI00124,1
OI000267,ORD000114,MI00124,2
OI000268,ORD000115,MI00087,1
OI000269,ORD000115,MI00085,2
OI000270,ORD000116,MI00081,1
OI000271,ORD000116,MI00079,1
OI000272,ORD000117,MI00059,1
OI000273,ORD000117,MI00056,1
OI000274,ORD000118,MI00113,2
OI000275,ORD000118,MI00112,1
OI000276,ORD000118,MI00113,3
OI000277,ORD000119,MI00036,1
OI000278,ORD000119,MI00038,1
OI000279,ORD000119,MI00034,1
OI000280,ORD000119,MI00032,3
