order_id,user_id,restaurant_id,order_status,total_amount,platform,created_at
ORD000001,U00717,R0016,completed,24.44,android,2024-12-15 20:58:49
ORD000002,U02671,R0047,completed,35.91,web,2024-12-15 13:28:50
ORD000003,U01077,R0011,completed,23.85,android,2024-12-15 15:34:03
ORD000004,U04794,R0001,completed,54.87,android,2024-12-15 06:21:00
ORD000005,U02679,R0008,completed,57.61,ios,2024-12-15 04:32:40
ORD000006,U02710,R0042,completed,30.73,android,2024-12-15 14:21:43
ORD000007,U00026,R0038,completed,30.25,android,2024-12-15 11:02:18
ORD000008,U02410,R0012,completed,55.56,android,2024-12-15 17:43:25
ORD000009,U01692,R0033,completed,34.32,ios,2024-12-15 14:07:18
ORD000010,U00735,R0003,completed,28.88,android,2024-12-15 10:35:17
ORD000011,U01810,R0003,completed,45.69,android,2024-12-15 21:09:06
ORD000012,U02164,R0017,completed,44.81,android,2024-12-15 16:12:54
ORD000013,U01574,R0007,completed,34.16,android,2024-12-15 22:48:56
ORD000014,U02460,R0003,completed,34.87,ios,2024-12-15 15:56:44
ORD000015,U04820,R0048,completed,52.53,ios,2024-12-15 21:23:34
ORD000016,U02592,R0040,completed,18.39,ios,2024-12-15 05:41:51
ORD000017,U02367,R0042,completed,21.81,web,2024-12-15 22:32:28
ORD000018,U03631,R0038,completed,35.25,android,2024-12-15 11:29:30
ORD000019,U01524,R0018,completed,40.87,ios,2024-12-15 08:47:17
ORD000020,U04904,R0010,completed,56.68,ios,2024-12-15 11:59:28
ORD000021,U01491,R0029,failed,15.12,android,2024-12-15 17:12:24
ORD000022,U04810,R0029,completed,31.80,ios,2024-12-15 09:27:57
ORD000023,U03244,R0009,completed,49.06,android,2024-12-15 19:14:42
ORD000024,U03767,R0011,completed,36.13,web,2024-12-15 12:31:07
ORD000025,U03664,R0031,completed,59.56,ios,2024-12-15 09:15:00
ORD000026,U03237,R0030,completed,44.69,ios,2024-12-15 12:37:07
ORD000027,U01366,R0046,completed,28.72,ios,2024-12-15 12:01:00
ORD000028,U04362,R0047,completed,53.43,android,2024-12-15 12:31:51
ORD000029,U02278,R0042,completed,42.26,android,2024-12-15 10:12:57
ORD000030,U00360,R0016,completed,51.98,web,2024-12-15 18:08:37
ORD000031,U02399,R0047,completed,57.13,android,2024-12-15 21:38:54
ORD000032,U04165,R0002,completed,48.14,ios,2024-12-15 13:01:31
ORD000033,U03569,R0007,completed,52.42,ios,2024-12-15 11:28:02
ORD000034,U04035,R0018,cancelled,48.00,web,2024-12-15 20:31:19
ORD000035,U01442,R0013,completed,32.44,web,2024-12-15 18:40:52
ORD000036,U01994,R0016,completed,37.67,web,2024-12-15 13:55:05
ORD000037,U04630,R0031,completed,46.85,web,2024-12-15 20:47:20
ORD000038,U03552,R0033,cancelled,34.67,ios,2024-12-15 09:48:34
ORD000039,U01690,R0005,completed,27.33,android,2024-12-15 12:14:40
ORD000040,U01056,R0047,completed,48.03,ios,2024-12-15 13:26:13
ORD000041,U03825,R0037,completed,22.74,android,2024-12-15 08:45:14
ORD000042,U03218,R0034,completed,55.37,android,2024-12-15 09:20:36
ORD000043,U00086,R0030,cancelled,46.44,android,2024-12-15 20:08:42
ORD000044,U01598,R0046,completed,27.29,android,2024-12-15 21:22:26
ORD000045,U04419,R0031,completed,18.20,android,2024-12-15 18:07:46
ORD000046,U03407,R0045,failed,32.09,web,2024-12-15 11:35:37
ORD000047,U03003,R0006,completed,55.14,web,2024-12-15 20:19:23
ORD000048,U03774,R0032,completed,56.43,ios,2024-12-15 22:48:52
ORD000049,U03532,R0031,completed,47.38,ios,2024-12-15 20:30:25
ORD000050,U03335,R0009,completed,15.38,ios,2024-12-15 21:54:41
ORD000051,U04121,R0020,completed,29.83,ios,2024-12-15 09:31:23
ORD000052,U04890,R0032,completed,38.81,ios,2024-12-15 14:09:29
ORD000053,U02647,R0010,completed,22.50,ios,2024-12-15 18:35:23
ORD000054,U02314,R0039,completed,22.66,android,2024-12-15 13:43:14
ORD000055,U02390,R0044,cancelled,27.40,android,2024-12-15 19:08:19
ORD000056,U04084,R0013,completed,41.29,ios,2024-12-15 19:05:16
ORD000057,U01811,R0006,cancelled,39.48,ios,2024-12-15 15:57:15
ORD000058,U00192,R0006,cancelled,19.88,ios,2024-12-15 20:16:42
ORD000059,U03348,R0017,completed,37.58,ios,2024-12-15 14:20:23
ORD000060,U02760,R0023,completed,21.91,ios,2024-12-15 12:17:12
ORD000061,U04304,R0017,completed,30.59,ios,2024-12-15 14:20:04
ORD000062,U04976,R0037,cancelled,54.59,web,2024-12-15 14:45:59
ORD000063,U02277,R0022,completed,30.71,ios,2024-12-15 13:39:27
ORD000064,U01271,R0043,completed,59.42,web,2024-12-15 14:51:36
ORD000065,U04132,R0043,completed,26.27,ios,2024-12-15 14:09:20
ORD000066,U02028,R0003,completed,46.16,web,2024-12-15 19:07:49
ORD000067,U03818,R0028,completed,20.80,web,2024-12-15 21:19:40
ORD000068,U03922,R0011,completed,41.64,android,2024-12-15 21:59:34
ORD000069,U04081,R0034,completed,53.70,ios,2024-12-15 14:37:29
ORD000070,U04545,R0037,completed,47.71,ios,2024-12-15 23:05:52
ORD000071,U00641,R0042,completed,59.46,web,2024-12-15 14:04:38
ORD000072,U03781,R0040,completed,29.08,android,2024-12-15 18:08:53
ORD000073,U04287,R0011,cancelled,19.54,ios,2024-12-15 19:51:23
ORD000074,U03146,R0003,completed,43.53,android,2024-12-15 19:24:10
ORD000075,U04264,R0047,completed,27.18,web,2024-12-15 09:06:25
ORD000076,U03850,R0014,completed,43.45,ios,2024-12-15 10:43:22
ORD000077,U01494,R0019,cancelled,23.49,ios,2024-12-15 08:15:43
ORD000078,U01532,R0001,completed,25.58,android,2024-12-15 11:54:38
ORD000079,U04651,R0019,completed,17.95,android,2024-12-15 09:09:56
ORD000080,U02846,R0013,completed,48.89,ios,2024-12-15 14:23:00
ORD000081,U04138,R0039,completed,24.56,android,2024-12-15 21:32:03
ORD000082,U03360,R0037,completed,42.36,web,2024-12-15 08:17:00
ORD000083,U01908,R0006,completed,16.08,ios,2024-12-15 13:06:42
ORD000084,U01291,R0044,completed,29.78,android,2024-12-15 21:08:48
ORD000085,U02439,R0041,completed,43.94,web,2024-12-15 12:16:28
ORD000086,U04133,R0009,completed,34.97,ios,2024-12-15 10:20:19
ORD000087,U00594,R0019,cancelled,36.07,android,2024-12-15 21:26:27
ORD000088,U02334,R0038,completed,24.77,ios,2024-12-15 19:08:38
ORD000089,U04360,R0046,cancelled,17.30,ios,2024-12-15 06:03:59
ORD000090,U01140,R0017,completed,52.37,android,2024-12-15 11:03:27
ORD000091,U03138,R0033,completed,23.14,ios,2024-12-15 13:12:13
ORD000092,U04605,R0037,cancelled,18.14,android,2024-12-15 20:55:02
ORD000093,U01093,R0045,cancelled,42.02,ios,2024-12-15 13:38:15
ORD000094,U04376,R0024,completed,29.18,android,2024-12-15 07:18:51
ORD000095,U00867,R0027,cancelled,57.32,ios,2024-12-15 09:53:59
ORD000096,U04748,R0042,completed,47.47,android,2024-12-15 07:00:45
ORD000097,U02391,R0013,completed,32.72,ios,2024-12-15 12:18:16
ORD000098,U01526,R0048,completed,50.02,ios,2024-12-15 13:05:16
ORD000099,U00069,R0041,completed,17.54,ios,2024-12-15 09:56:28
ORD000100,U04732,R0016,completed,29.36,ios,2024-12-15 04:40:32
ORD000101,U04762,R0029,completed,56.48,web,2024-12-15 14:03:38
ORD000102,U00957,R0035,completed,48.78,web,2024-12-15 01:37:02
ORD000103,U03476,R0028,completed,24.53,web,2024-12-15 12:46:55
ORD000104,U04500,R0029,completed,54.81,ios,2024-12-15 12:26:07
ORD000105,U03025,R0043,completed,28.91,android,2024-12-15 02:18:17
ORD000106,U03355,R0014,completed,24.91,web,2024-12-15 20:22:41
ORD000107,U04210,R0043,completed,33.59,android,2024-12-15 11:52:49
ORD000108,U02837,R0048,completed,33.49,ios,2024-12-15 08:20:31
ORD000109,U00666,R0033,completed,31.49,ios,2024-12-15 20:31:25
ORD000110,U02166,R0023,completed,46.66,android,2024-12-15 21:26:20
ORD000111,U00067,R0003,completed,50.35,android,2024-12-15 19:59:14
ORD000112,U02455,R0048,cancelled,29.16,android,2024-12-15 20:47:17
ORD000113,U03512,R0009,completed,18.97,android,2024-12-15 09:56:08
ORD000114,U02548,R0022,completed,30.89,ios,2024-12-15 17:53:46
ORD000115,U01242,R0015,completed,36.81,ios,2024-12-15 11:18:09
ORD000116,U01570,R0014,completed,17.58,web,2024-12-15 13:34:04
ORD000117,U04610,R0010,completed,23.05,ios,2024-12-15 08:39:49
ORD000118,U01433,R0020,completed,55.16,ios,2024-12-15 16:10:38
ORD000119,U00186,R0006,completed,47.23,android,2024-12-15 22:19:36
ORD000120,U01270,R0036,completed,26.71,ios,2024-12-15 13:41:42
ORD000121,U01833,R0013,completed,42.16,android,2024-12-15 13:59:13
ORD000122,U03649,R0019,completed,48.82,android,2024-12-15 18:01:03
ORD000123,U02254,R0033,completed,22.01,web,2024-12-15 13:25:24
ORD000124,U03831,R0036,completed,24.99,android,2024-12-15 20:43:36
ORD000125,U01156,R0034,cancelled,33.38,android,2024-12-15 18:22:57
ORD000126,U02890,R0021,cancelled,30.09,android,2024-12-15 19:27:10
ORD000127,U04402,R0012,completed,31.97,android,2024-12-15 20:13:51
ORD000128,U00722,R0021,completed,35.16,web,2024-12-15 14:40:19
ORD000129,U04922,R0027,completed,56.48,android,2024-12-15 16:10:30
ORD000130,U03796,R0044,cancelled,27.17,web,2024-12-15 19:43:15
ORD000131,U02391,R0028,cancelled,33.73,ios,2024-12-15 12:59:19
ORD000132,U04122,R0025,failed,18.91,android,2024-12-15 12:32:25
ORD000133,U03630,R0049,completed,48.25,ios,2024-12-15 14:30:39
ORD000134,U01391,R0017,completed,42.18,web,2024-12-15 21:48:15
ORD000135,U04424,R0049,completed,44.25,android,2024-12-15 12:33:27
ORD000136,U01810,R0027,completed,51.00,android,2024-12-15 11:03:54
ORD000137,U02947,R0015,completed,46.29,android,2024-12-15 07:15:34
ORD000138,U03716,R0038,completed,48.35,ios,2024-12-15 13:04:51
ORD000139,U01920,R0032,completed,58.45,ios,2024-12-15 19:40:39
ORD000140,U00013,R0006,completed,49.92,android,2024-12-15 09:51:01
ORD000141,U02011,R0007,completed,37.55,ios,2024-12-15 03:40:09
ORD000142,U00977,R0024,cancelled,21.84,ios,2024-12-15 10:52:52
ORD000143,U02023,R0044,completed,18.00,ios,2024-12-15 16:11:05
ORD000144,U00450,R0012,completed,26.00,ios,2024-12-15 21:30:11
ORD000145,U01095,R0012,completed,43.01,ios,2024-12-15 21:15:06
ORD000146,U02507,R0032,completed,43.60,android,2024-12-15 15:44:00
ORD000147,U00056,R0045,completed,19.73,ios,2024-12-15 23:47:05
ORD000148,U01973,R0022,completed,52.93,web,2024-12-15 20:11:18
ORD000149,U02748,R0016,completed,26.57,web,2024-12-15 20:58:49
ORD000150,U02085,R0005,completed,29.07,android,2024-12-15 11:39:07
ORD000151,U00576,R0046,completed,46.05,ios,2024-12-15 08:09:34
ORD000152,U04691,R0003,cancelled,52.97,web,2024-12-15 17:42:46
ORD000153,U00046,R0035,completed,56.99,android,2024-12-15 17:36:41
ORD000154,U01930,R0011,completed,20.10,ios,2024-12-15 01:23:55
ORD000155,U03943,R0014,completed,23.01,android,2024-12-15 14:08:43
ORD000156,U01948,R0012,completed,47.01,android,2024-12-15 12:41:55
ORD000157,U01572,R0006,cancelled,24.91,ios,2024-12-15 13:22:46
ORD000158,U04969,R0048,completed,24.68,ios,2024-12-15 14:01:06
ORD000159,U00460,R0026,cancelled,35.07,android,2024-12-15 20:59:29
ORD000160,U04115,R0035,cancelled,33.51,android,2024-12-15 16:11:20
ORD000161,U01769,R0033,completed,32.86,ios,2024-12-15 09:28:14
ORD000162,U00918,R0011,completed,16.84,android,2024-12-15 07:43:51
ORD000163,U01792,R0014,failed,43.83,web,2024-12-15 22:00:23
ORD000164,U00426,R0039,completed,38.49,android,2024-12-15 06:21:01
ORD000165,U03054,R0001,completed,38.74,ios,2024-12-15 09:18:26
ORD000166,U02317,R0004,completed,25.47,web,2024-12-15 11:28:39
ORD000167,U04079,R0001,completed,40.16,android,2024-12-15 23:41:28
ORD000168,U02811,R0003,completed,30.29,ios,2024-12-15 12:45:57
ORD000169,U04701,R0011,completed,34.88,ios,2024-12-15 16:28:15
ORD000170,U00670,R0036,failed,23.43,web,2024-12-15 20:35:58
ORD000171,U00105,R0024,completed,19.86,ios,2024-12-15 06:12:16
ORD000172,U01819,R0025,cancelled,39.04,ios,2024-12-15 17:02:23
ORD000173,U02905,R0003,cancelled,33.06,ios,2024-12-15 18:40:45
ORD000174,U04449,R0031,completed,51.09,web,2024-12-15 13:42:25
ORD000175,U03326,R0029,completed,40.50,ios,2024-12-15 15:12:40
ORD000176,U00876,R0017,completed,52.33,android,2024-12-15 18:01:19
ORD000177,U02969,R0044,completed,18.61,android,2024-12-15 23:33:07
ORD000178,U00691,R0007,completed,59.86,android,2024-12-15 11:58:21
ORD000179,U02745,R0045,completed,33.10,android,2024-12-15 21:37:55
ORD000180,U02568,R0037,failed,32.96,ios,2024-12-15 14:36:09
ORD000181,U02466,R0028,cancelled,28.79,android,2024-12-15 21:55:29
