payment_id,order_id,user_id,method,provider,status,amount,processing_time_ms,error_code,created_at
PAY000001,ORD000001,U00717,credit_card,paystream_v2,success,24.44,86,,2024-12-15 20:58:49
PAY000002,ORD000002,U02671,credit_card,paystream_v2,success,35.91,142,,2024-12-15 13:28:50
PAY000003,ORD000003,U01077,google_pay,paystream_v2,success,23.85,152,,2024-12-15 15:34:03
PAY000004,ORD000004,U04794,google_pay,paystream_v2,success,54.87,115,,2024-12-15 06:21:00
PAY000005,ORD000005,U02679,credit_card,paystream_v2,success,57.61,140,,2024-12-15 04:32:40
PAY000006,ORD000006,U02710,google_pay,paystream_v2,success,30.73,80,,2024-12-15 14:21:43
PAY000007,ORD000007,U00026,google_pay,paystream_v2,success,30.25,152,,2024-12-15 11:02:18
PAY000008,ORD000008,U02410,google_pay,paystream_v2,success,55.56,97,,2024-12-15 17:43:25
PAY000009,ORD000009,U01692,credit_card,paystream_v2,success,34.32,85,,2024-12-15 14:07:18
PAY000010,ORD000010,U00735,credit_card,paystream_v2,success,28.88,133,,2024-12-15 10:35:17
PAY000011,ORD000011,U01810,credit_card,paystream_v2,success,45.69,135,,2024-12-15 21:09:06
PAY000012,ORD000012,U02164,credit_card,paystream_v2,success,44.81,129,,2024-12-15 16:12:54
PAY000013,ORD000013,U01574,google_pay,paystream_v2,success,34.16,116,,2024-12-15 22:48:56
PAY000014,ORD000014,U02460,apple_pay,paystream_v2,success,34.87,99,,2024-12-15 15:56:44
PAY000015,ORD000015,U04820,credit_card,paystream_v2,success,52.53,93,,2024-12-15 21:23:34
PAY000016,ORD000016,U02592,apple_pay,paystream_v2,success,18.39,134,,2024-12-15 05:41:51
PAY000017,ORD000017,U02367,credit_card,paystream_v2,success,21.81,87,,2024-12-15 22:32:28
PAY000018,ORD000018,U03631,credit_card,paystream_v2,success,35.25,141,,2024-12-15 11:29:30
PAY000019,ORD000019,U01524,apple_pay,paystream_v2,success,40.87,145,,2024-12-15 08:47:17
PAY000020,ORD000020,U04904,apple_pay,paystream_v2,success,56.68,93,,2024-12-15 11:59:28
PAY000021,ORD000021,U01491,credit_card,paystream_v2,failed,15.12,133,GATEWAY_TIMEOUT,2024-12-15 17:12:24
