event_id,user_id,session_id,event_type,platform,device,app_version,timestamp
E0000001,U04371,S0000001,app_open,ios,iPhone 14,4.2.1,2024-12-15 14:10:45
E0000002,U04371,S0000001,restaurant_view,ios,iPhone 14,4.2.1,2024-12-15 14:10:51
E0000003,U04371,S0000001,add_to_cart,ios,iPhone 14,4.2.1,2024-12-15 14:11:19
E0000004,U00796,S0000002,app_open,ios,iPhone 14 Pro,4.2.1,2024-12-15 16:39:50
E0000005,U04582,S0000003,app_open,android,Samsung A54,4.2.1,2024-12-15 01:12:32
E0000006,U01789,S0000004,app_open,web,Chrome,4.2.1,2024-12-15 13:15:12
E0000007,U01789,S0000004,restaurant_view,web,Chrome,4.2.1,2024-12-15 13:15:57
E0000008,U01789,S0000004,add_to_cart,web,Chrome,4.2.1,2024-12-15 13:16:26
E0000009,U01789,S0000004,checkout_start,web,Chrome,4.2.1,2024-12-15 13:16:29
E0000010,U01789,S0000004,payment_attempt,web,Chrome,4.2.1,2024-12-15 13:17:08
E0000011,U01789,S0000004,order_complete,web,Chrome,4.2.1,2024-12-15 13:17:26
E0000012,U04187,S0000005,app_open,ios,iPhone 15 Pro,4.2.1,2024-12-15 19:57:34
E0000013,U04187,S0000005,restaurant_view,ios,iPhone 15 Pro,4.2.1,2024-12-15 19:57:38
E0000014,U04187,S0000005,add_to_cart,ios,iPhone 15 Pro,4.2.1,2024-12-15 19:58:17
E0000015,U04187,S0000005,checkout_start,ios,iPhone 15 Pro,4.2.1,2024-12-15 19:58:34
E0000016,U04187,S0000005,payment_attempt,ios,iPhone 15 Pro,4.2.1,2024-12-15 19:59:10
E0000017,U04187,S0000005,order_complete,ios,iPhone 15 Pro,4.2.1,2024-12-15 19:59:25
E0000018,U02320,S0000006,app_open,android,Pixel 7 Pro,4.2.1,2024-12-15 19:14:41
E0000019,U02320,S0000006,restaurant_view,android,Pixel 7 Pro,4.2.1,2024-12-15 19:15:09
E0000020,U02375,S0000007,app_open,android,Samsung A54,4.2.1,2024-12-15 23:46:25
E0000021,U02375,S0000007,restaurant_view,android,Samsung A54,4.2.1,2024-12-15 23:46:28
E0000022,U00630,S0000008,app_open,ios,iPhone SE,4.2.1,2024-12-15 19:42:59
E0000023,U00630,S0000008,restaurant_view,ios,iPhone SE,4.2.1,2024-12-15 19:43:04
E0000024,U00630,S0000008,add_to_cart,ios,iPhone SE,4.2.1,2024-12-15 19:43:22
E0000025,U00630,S0000008,checkout_start,ios,iPhone SE,4.2.1,2024-12-15 19:44:07
E0000026,U00630,S0000008,payment_attempt,ios,iPhone SE,4.2.1,2024-12-15 19:44:26
